Year,Population_Brazil,Population_Indonesia,Population_Pakistan,Population_Russian Federation,Population_United States,FertilityRate_Brazil,FertilityRate_Indonesia,FertilityRate_Pakistan,FertilityRate_Russian Federation,FertilityRate_United States,LifeExpectancy_Brazil,LifeExpectancy_Indonesia,LifeExpectancy_Pakistan,LifeExpectancy_Russian Federation,LifeExpectancy_United States
1960,72.494,87.793,44.912,119.897,180.671,6.21,5.666,6.6,2.52,3.654,54.69214634,44.8065122,46.43373171,66.05529268,69.77073171
1961,74.707,90.138,45.988,121.236,183.691,6.19,5.656,6.6,2.45,3.62,55.16963415,45.62029268,47.35502439,66.59702439,70.27073171
1962,77.008,92.558,47.123,122.591,186.538,6.143,5.645,6.6,2.36,3.461,55.63309756,46.422,48.23034146,67.02141463,70.1195122
1963,79.368,95.056,48.313,123.960,189.242,6.063,5.634,6.6,2.27,3.319,56.08,47.21160976,49.05614634,67.33990244,69.91707317
1964,81.752,97.638,49.555,125.345,191.889,5.953,5.623,6.6,2.18,3.19,56.51029268,47.98909756,49.83095122,67.5665122,70.16585366
1965,84.130,100.309,50.849,126.745,194.303,5.815,5.612,6.6,2.13,2.913,56.92387805,48.7544878,50.55426829,67.71885366,70.21463415
1966,86.495,103.067,52.195,127.468,196.560,5.658,5.599,6.6,2.1,2.721,57.32319512,49.5072439,51.22412195,67.8125122,70.21219512
1967,88.854,105.907,53.594,128.196,198.712,5.491,5.582,6.6,2.04,2.558,57.7117561,50.24787805,51.8465122,67.86014634,70.56097561
1968,91.213,108.822,55.046,128.928,200.706,5.326,5.556,6.6,1.99,2.464,58.09460976,50.97443902,52.42792683,67.87434146,69.95121951
1969,93.586,111.800,56.546,129.664,202.677,5.168,5.521,6.6,1.97,2.456,58.47529268,51.68741463,52.97729268,67.86712195,70.50731707
1970,95.982,114.835,58.094,130.404,205.052,5.024,5.474,6.601,1.99,2.48,58.85697561,52.38687805,53.50304878,68.13365854,70.80731707
1971,98.402,117.922,59.690,131.155,207.661,4.896,5.413,6.602,2.03,2.266,59.24436585,53.07182927,54.01809756,68.37658537,71.10731707
1972,100.844,121.060,61.341,131.909,209.896,4.782,5.338,6.605,2.04,2.01,59.63753659,53.74231707,54.52839024,68.30853659,71.15609756
1973,103.321,124.242,63.062,132.669,211.909,4.679,5.251,6.608,2.01,1.879,60.0355122,54.39885366,55.03539024,68.29463415,71.35609756
1974,105.846,127.465,64.874,133.432,213.854,4.585,5.152,6.611,2,1.835,60.43819512,55.04095122,55.54112195,68.3202439,71.95609756
1975,108.431,130.724,66.791,134.200,215.973,4.499,5.043,6.612,1.98,1.774,60.83978049,55.66863415,56.03660976,67.72390244,72.60487805
1976,111.076,134.011,68.818,135.147,218.035,4.418,4.927,6.608,1.97,1.738,61.23543902,56.28139024,56.51195122,67.48756098,72.85609756
1977,113.776,137.322,70.954,136.100,220.239,4.339,4.806,6.599,1.95,1.79,61.62039024,56.88021951,56.95521951,67.37634146,73.25609756
1978,116.532,140.666,73.204,137.060,222.585,4.256,4.682,6.583,1.92,1.76,61.9925122,57.46358537,57.3615122,67.39097561,73.35609756
1979,119.341,144.054,75.576,138.027,225.055,4.169,4.557,6.561,1.9,1.808,62.35382927,58.034,57.73036585,67.11439024,73.80487805
1980,122.200,147.490,78.072,139.010,227.225,4.073,4.43,6.535,1.89,1.8395,62.70604878,58.59043902,58.06782927,67.03390244,73.65853659
1981,125.107,150.979,80.692,139.941,229.466,3.966,4.301,6.508,1.91,1.812,63.05646341,59.13241463,58.38290244,67.26390244,74.00731707
1982,128.055,154.506,83.428,140.823,231.664,3.848,4.167,6.483,2.04,1.8275,63.4104878,59.66095122,58.68704878,67.80609756,74.36097561
1983,131.014,158.044,86.265,141.668,233.792,3.721,4.028,6.46,2.11,1.799,63.77392683,60.176,58.9912439,67.65268293,74.46341463
1984,133.951,161.556,89.183,142.745,235.825,3.587,3.887,6.436,2.06,1.8065,64.14792683,60.67858537,59.299,67.20268293,74.56341463
1985,136.836,165.012,92.165,143.858,237.924,3.449,3.745,6.407,2.05,1.844,64.53253659,61.16919512,59.61431707,67.85682927,74.56341463
1986,139.665,168.402,95.207,144.894,240.133,3.308,3.606,6.367,2.15,1.8375,64.92614634,61.64736585,59.93519512,69.3897561,74.61463415
1987,142.437,171.729,98.302,145.908,242.289,3.17,3.472,6.31,2.22,1.872,65.32353659,62.11456098,60.25663415,69.44,74.76585366
1988,145.150,175.001,101.421,146.857,244.499,3.039,3.346,6.234,2.12,1.934,65.72207317,62.57029268,60.57314634,69.46439024,74.76585366
